1,1420,710,10,7,7
2,1440,720,15,12,10
3,1460,730,20,17,13
4,1480,740,25,22,16
5,1500,750,30,27,19
6,1520,760,35,32,22
7,1540,770,40,37,25
8,1560,780,45,42,28
9,1580,790,50,47,31
10,1600,800,55,52,34
11,1620,810,60,57,37
12,1640,820,65,62,40
13,1660,830,70,67,43
14,1680,840,75,72,46
15,1700,850,80,77,49
16,1720,860,85,82,52
17,1740,870,90,87,55
18,1760,880,95,92,58
19,1780,890,100,97,61
20,1800,900,105,102,64
21,1820,910,110,107,67
22,1840,920,115,112,70
23,1860,930,120,117,73
24,1880,940,125,122,76
25,1900,950,130,127,79
26,1920,960,135,132,82
27,1940,970,140,137,85
28,1960,980,145,142,88
29,1980,990,150,147,91
30,2000,1000,155,152,94
31,2040,1020,160,157,97
32,2080,1040,165,162,100
33,2120,1060,170,167,103
34,2160,1080,175,172,106
35,2200,1100,180,177,109
36,2240,1120,185,182,112
37,2280,1140,190,187,115
38,2320,1160,195,192,118
39,2360,1180,200,197,121
40,2400,1200,205,202,124
41,2440,1220,210,207,127
42,2480,1240,215,212,130
43,2520,1260,220,217,133
44,2560,1280,225,222,136
45,2600,1300,230,227,139
46,2640,1320,235,232,142
47,2680,1340,240,237,145
48,2720,1360,245,242,148
49,2760,1380,250,247,151
50,2800,1400,255,252,154
51,2840,1420,260,257,157
52,2880,1440,265,262,160
53,2920,1460,270,267,163
54,2960,1480,275,272,166
55,3000,1500,280,277,169
56,3040,1520,285,282,172
57,3080,1540,290,287,175
58,3120,1560,295,292,178
59,3160,1580,300,297,181
60,3200,1600,305,302,184
61,3240,1620,310,307,187
62,3280,1640,315,312,190
63,3320,1660,320,317,193
64,3360,1680,325,322,196
65,3400,1700,330,327,199
66,3440,1720,335,332,202
67,3480,1740,340,337,205
68,3520,1760,345,342,208
69,3560,1780,350,347,211
70,3600,1800,355,352,214
71,3640,1820,360,357,217
72,3680,1840,365,362,220
73,3720,1860,370,367,223
74,3760,1880,375,372,226
75,3800,1900,380,377,229
76,3840,1920,385,382,232
77,3880,1940,390,387,235
78,3920,1960,395,392,238
79,3960,1980,400,397,241
80,4000,2000,405,402,244
81,4040,2020,410,407,247
82,4080,2040,415,412,250
83,4120,2060,420,417,253
84,4160,2080,425,422,256
85,4200,2100,430,427,259
86,4240,2120,435,432,262
87,4280,2140,440,437,265
88,4320,2160,445,442,268
89,4360,2180,450,447,271
90,4400,2200,455,452,274
91,4440,2220,460,457,277
92,4480,2240,465,462,280
93,4520,2260,470,467,283
94,4560,2280,475,472,286
95,4600,2300,480,477,289
96,4640,2320,485,482,292
97,4680,2340,490,487,295
98,4720,2360,495,492,298
99,4760,2380,500,497,301
100,4800,2400,505,502,304
